name,serving,calorie,carbohydrate,sugar,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,fiber,sodium,potassium
시래기국,1인분(200g),53,6.36,1.03,4.12,2.05,0.541,0.899,0.386,4,1.4,135,262
식혜,1인분(100ml),48,12.11,9.83,0.2,0.02,0.007,0.007,0.008,0,0,2,2
알밥,1인분(400g),392,65.21,1.74,20.77,6.16,1.294,2.472,1.762,222,3.4,395,586
애호박볶음,1인분(75g),90,5.24,1.27,1.2,7.68,1.092,3.231,3.007,0,1.4,374,177
약과,1개,122,19.87,6.68,2.1,3.99,0.398,1.694,1.498,0,0.6,87,36
약식,1개,153,32.3,9.07,2.1,1.68,0.186,0.754,0.547,0,1,6,77
양념게장,1마리,160,8.79,2.17,18.04,6.69,0.979,2.802,2.039,79,3.4,697,476
양념치킨,1마리,1827,66,1,171,93,510,-,-,-,-,1981,-
어묵볶음,1인분(150g),187,21.3,2.21,10.79,7.35,0.905,2.856,3.068,31,2.9,1070,376
연근조림,1인분(50g),48,10.07,2.42,1.42,0.61,0.09,0.257,0.222,0,1.9,308,208
열무국수,1인분(350g),392,68.33,2.19,10.51,8.1,1.16,3.409,3.023,0,1.9,1468,322
열무김치,1인분(38g),12,2.61,1.06,0.56,0.1,0.02,0.045,0.019,0,0.8,232,98
오이소박이,1인분(100g),27,5.39,2.22,1.41,0.38,0.079,0.168,0.054,0,1.2,588,200
오징어채볶음,1인분(100g),122,8.56,1.87,12.09,4.36,0.993,1.335,1.554,165,1.2,321,288
오징어튀김,1인분(240g),419,38.61,2.93,34.82,12.69,1.974,4.032,5.068,452,2.1,883,537
우엉조림,1인분(150g),135,24.81,7.67,2.94,2.92,0.414,1.263,1.099,0,2.2,255,351
유부초밥,1인분(300g),539,73.1,3.39,21.28,19.25,2.838,10.74,4.279,0,5.1,741,238
육개장,1인분(200g),165,10.45,1.45,14.32,7.57,2.083,1.39,3.289,20,2.5,720,429
육회,1인분(200g),224,4.74,1.93,27.91,9.74,3.612,1.444,4.125,156,0.8,967,490
잔치국수,1인분(500g),447,83.16,2.67,20.78,3.94,1.017,1.145,0.717,26,5.6,507,560
잡곡밥,1인분(125g),203,43.73,0.06,5.25,1.18,0.204,0.472,0.336,0,2.3,163,124
잡채,1인분(150g),285,43.23,3.03,7.59,10.16,1.437,4.626,3.475,0,3.4,808,341
장어구이,1인분(100g),224,5.95,1.21,19.59,13.09,2.598,1.513,7.67,127,0.9,432,360
장조림,1인분(90g),133,2.57,0.88,15.01,6.64,2.751,0.267,2.721,29,0.2,202,259
전복죽,1인분(280g),130,25,0,4,1.8,0,-,-,-,,570,
젓갈,1인분(30g),38,3.84,0.13,3.52,0.9,0.146,0.376,0.268,23,0.2,183,42
제육볶음,1인분(300g),572,31.12,20.94,39.64,33.08,9.991,6.233,13.746,128,4.8,832,1055
조개구이,1인분(85g),117,2.68,0,12.71,5.83,1.007,1.708,2.378,34,0,351,314
조기구이,1인분(85g),112,0,0,19.13,3.41,1.17,0.499,1.236,65,0,0.54,315
족발,1인분(200g),458,0.64,0.05,43.06,31.42,8.501,3.017,15.666,209,0,335,74
주꾸미볶음,1인분(300g),565,31.57,7.54,61.6,21.36,3.412,7.773,7.634,184,5.6,2296,1596
주먹밥,1인분(220g),414,75.88,0.84,10.66,6.81,1.043,2.78,2.522,10,3.3,296,193
짜장면,1인분(450g),785,129.41,6.56,26.81,19.98,5.621,4.043,8.517,22,13.8,600,803
짬뽕,1인분(500g),764,133.56,3.24,28.79,12,1.489,3.751,5.361,222,3.2,1599,755
쫄면,1인분(200g),211,43.29,8.25,4.55,1.54,0.248,0.6,0.433,0,4.4,501,337
찜닭,1인분(200g),385,31.64,7.52,27.85,15.39,3.481,4.065,6.342,94,2.4,627,480
총각김치,1인분(38g),11,2.35,1.08,0.47,0.1,0.02,0.043,0.018,0,0.7,233,93
추어탕,1인분(300g),194,3.54,1,26.52,8.01,1.556,1.972,3.116,83,1.4,1202,767
칼국수,1인분(350g),420,71.74,3.56,16.04,8.79,1.578,3.559,2.457,23,7.4,566,529
코다리조림,1인분(200g),219,11.47,6.61,29.08,5.14,0.717,2.312,1.588,100,1.4,457,603
콩국수,1인분(200g),514,81.4,2.2,25.01,10.47,2.059,4.661,2.652,85,6.1,526,794
콩나물국,1인분(250g),41,5.87,1.74,2.17,1.54,0.24,0.657,0.509,0,2,672,120
콩나물무침,1인분(50g),24,3.75,1.23,1.45,0.7,0.112,0.3,0.233,0,1.2,250,69
콩자반,1인분(30g),95,18.17,3.75,5.34,0.41,0.097,0.177,0.058,0,3.6,126,354
파김치,1인분(38g),14,3.13,1.04,0.76,0.12,0.02,0.05,0.021,0,1,232,106
파전,1인분(150g),204,25.18,5.31,7.72,8.41,1.726,2.652,3.182,131,2.7,542,305
편육,1인분(120g),196,3.67,0,20.92,10.2,3.382,1.031,4.976,65,0.7,1549,350
피자,1인분(198g),483,52.15,7.8,21.4,20.95,7.9,3.714,7.381,48,4.8,1216,364
한과,1인분(30g),111,23.8,10.79,1.43,1.22,0.177,0.506,0.457,0,0.5,46,20
해물찜,1인분(200g),269,17.84,2.18,23.7,11.52,1.846,4.691,3.951,148,4.4,801,670
호박전,1인분(189g),180,12.67,2.11,4.47,12.83,1.551,4.905,5.611,42,1.6,918,320
호박죽,1인분(300g),211,44.01,5.46,4.38,2.96,1.735,0.248,0.619,3,3.3,605,333
홍어무침,1인분(160g),139,9.14,2.48,19.7,3.37,0.638,1.399,0.777,64,3.1,793,664
황태구이,1인분(200g),587,12.16,4.67,73.37,26.96,5.371,10.245,7.768,228,4.5,6578,1872
회무침,1인분(200g),190,28.83,6.8,11.23,6.27,1.099,2.833,1.499,22,8.3,997,921
후라이드치킨,1인분(85g),247,8.48,0.2,18.96,14.68,3.67,3.69,6.04,72,0.3,257,162
훈제오리,1인분(150g),462,0,0,29.68,37.19,12.79,4.785,16.507,127,0,381,319
